,well,lat,lon
153,15/12-17 S,6432538.9,436399.33
154,15/12-18 A,6453416.52,428194.3
155,15/12-18 S,6453416.52,428194.3
156,15/12-19,6429787.22,436238.87
157,15/12-2,6445161.61,436990.2
158,15/12-20 S,6438070.14,434558.93
159,15/12-21,6454775.77,434361.34
160,15/12-21 A,6454775.77,434361.34
161,15/12-22,6451951.66,440480.33
162,15/12-23,6453546.42,434456.03
163,15/12-23 A,6453546.42,434456.03
164,15/12-24 S,6443179.53,436554.84
165,15/12-3,6456514.34,434208.3
166,15/12-3 T2,6456514.34,434208.3
167,15/12-4,6435232.25,435264.02
168,15/12-5,6438443.61,435998.33
169,15/12-6 S,6438063.13,434552.91
170,15/12-6 ST2,6438063.13,434552.91
171,15/12-7 S,6430858.6,439525.83
172,15/12-8,6434946.27,439060.86
173,15/12-8 A,6434946.27,439060.86
174,15/12-9 S,6438067.06,434558.55
175,15/12-9 ST2,6438067.06,434558.55
176,15/12-A-1,6438070.21,434554.67
177,15/12-A-1 A,6438070.21,434554.67
178,15/12-A-1 B,6438070.21,434554.67
179,15/12-A-1 T2,6438070.21,434554.67
180,15/12-A-10,6438066.46,434556.9
181,15/12-A-10 A,6438066.46,434556.9
182,15/12-A-10 T2,6438066.46,434556.9
183,15/12-A-11,6438067.06,434558.55
184,15/12-A-12,6438068.27,434560.05
185,15/12-A-12 A,6438068.27,434560.05
186,15/12-A-12 B,6438068.27,434560.05
187,15/12-A-12 BT2,6438068.27,434560.05
188,15/12-A-12 C,6438068.27,434560.05
189,15/12-A-12 D,6438068.27,434560.05
190,15/12-A-12 E,6438068.27,434560.05
191,15/12-A-13,6438069.17,434561.37
192,15/12-A-14,6438064.9,434557.86
193,15/12-A-15,6438065.5,434559.34
194,15/12-A-15 A,6438065.5,434559.34
195,15/12-A-15 AT2,6438065.5,434559.34
196,15/12-A-16,6438066.71,434561.0
197,15/12-A-2,6438071.11,434556.65
198,15/12-A-3,6438072.01,434558.14
199,15/12-A-3 A,6438072.01,434558.14
200,15/12-A-3 B,6438072.01,434558.14
201,15/12-A-4,6438068.65,434555.46
202,15/12-A-5,6438068.64,434556.12
203,15/12-A-5 A,6438068.64,434556.12
204,15/12-A-5 T2,6438068.64,434556.12
205,15/12-A-6,6438069.24,434557.6
206,15/12-A-6 A,6438069.24,434557.6
207,15/12-A-7,6438070.14,434558.93
208,15/12-A-7 A,6438070.14,434558.93
209,15/12-A-7 B,6438070.14,434558.93
210,15/12-A-7 C,6438070.14,434558.93
211,15/12-A-8,6438070.74,434560.09
212,15/12-A-8 A,6438070.74,434560.09
213,15/12-A-9,6438065.86,434555.75
214,15/12-A-9 A,6438065.86,434555.75
215,15/12-A-9 B,6438065.86,434555.75
216,15/12-A-9 T2,6438065.86,434555.75
217,15/12-A-9 T3,6438065.86,434555.75
218,15/12-A-9 T4,6438065.86,434555.75
219,15/12-C-1 AH,6432475.78,436478.4
220,15/12-C-1 H,6432475.78,436478.4
221,15/12-C-2 H,6432466.91,436472.19
222,15/12-D-1 H,6432538.9,436399.33
223,15/12-E-1 H,6430692.12,436503.03
224,15/12-U-1,6438663.07,435129.53
225,15/12-U-10,6453367.08,428140.02
226,15/12-U-11,6453382.04,428202.0
227,15/12-U-12,6453428.97,428156.0
228,15/12-U-13,6443240.48,436496.08
229,15/12-U-14,6443222.75,436560.28
230,15/12-U-15,6443177.11,436512.74
231,15/12-U-2,6438663.07,435129.53
232,15/12-U-3,6438663.07,435129.53
233,15/12-U-4,6438663.07,435129.53
234,15/12-U-5,6438663.07,435129.53
235,15/12-U-6,6438663.07,435129.53
236,15/12-U-7,6438663.07,435129.53
237,15/12-U-8,6438663.07,435129.53
238,15/12-U-9,6438663.07,435129.53
239,15/2-1,6513814.19,418684.57
240,15/3-1 S,6524112.64,426158.89
241,15/3-10,6520620.8,434583.23
242,15/3-2,6538995.08,430266.34
243,15/3-2 R,6538995.08,430266.34
244,15/3-3,6526963.86,429625.8
245,15/3-4,6520489.03,435502.74
